obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""301.9333""","=""0.0010""","=""301.9333""","=""0.0010""","=""12""","=""""",,"=""58907.839""","=""92018.09""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2p.3p""","=""3P""","=""2""",,"=""""","=""L4743""",
"=""301.9492""","=""0.0010""","=""301.9492""","=""0.0007""","=""9*""","=""""",,"=""58907.472""","=""92015.98""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2p.3p""","=""3P""","=""1""",,"=""""","=""L4743""",
"=""301.9492""","=""0.0010""","=""301.9492""","=""0.0007""","=""9*""","=""""",,"=""58907.472""","=""92015.98""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2p.3p""","=""3P""","=""1""",,"=""""","=""L4743""",
"=""301.9526""","=""0.0010""","=""301.9526""","=""0.0007""","=""9""","=""""",,"=""58907.839""","=""92015.98""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2p.3p""","=""3P""","=""1""",,"=""""","=""L4743""",
"=""301.9599""","=""0.0010""","=""301.9599""","=""0.0010""","=""7""","=""""",,"=""58907.472""","=""92014.81""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2p.3p""","=""3P""","=""0""",,"=""""","=""L4743""",
"=""308.9826""","=""0.0020""","=""308.9827""","=""0.0020""","=""3*""","=""""",,"=""66811.89""","=""99166.77""","=""1s2.2s.4p""","=""3P*""","=""1""","=""1s2.2p.4p""","=""3P""","=""2""",,"=""""","=""L2771""",
"=""308.9826""","=""0.0020""","=""308.9827""","=""0.0020""","=""3*""","=""""",,"=""66811.89""","=""99166.77""","=""1s2.2s.4p""","=""3P*""","=""2""","=""1s2.2p.4p""","=""3P""","=""2""",,"=""""","=""L2771""",
"=""309.0023""","=""0.0020""","=""309.0024""","=""0.0021""","=""5*""","=""""",,"=""66811.89""","=""99164.71""","=""1s2.2s.4p""","=""3P*""","=""1""","=""1s2.2p.4p""","=""3P""","=""1""",,"=""""","=""L2771""",
"=""309.0023""","=""0.0020""","=""309.0024""","=""0.0021""","=""5*""","=""""",,"=""66811.89""","=""99164.71""","=""1s2.2s.4p""","=""3P*""","=""2""","=""1s2.2p.4p""","=""3P""","=""1""",,"=""""","=""L2771""",
"=""309.0023""","=""0.0020""","=""309.0024""","=""0.0022""","=""5*""","=""""",,"=""66811.89""","=""99164.71""","=""1s2.2s.4p""","=""3P*""","=""0""","=""1s2.2p.4p""","=""3P""","=""1""",,"=""""","=""L2771""",
"=""309.0130""","=""0.0020""","=""309.0131""","=""0.0020""","=""5*""","=""""",,"=""66811.89""","=""99163.59""","=""1s2.2s.4p""","=""3P*""","=""1""","=""1s2.2p.4p""","=""3P""","=""0""",,"=""""","=""L2771""",
"=""311.0814""","=""0.0010""","=""311.0813""","=""0.0009""","=""5*""","=""""",,"=""62053.742""","=""94190.36""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2p.3d""","=""3D*""","=""3""",,"=""""","=""L4743""",
"=""311.0814""","=""0.0010""","=""311.0813""","=""0.0009""","=""5*""","=""""",,"=""62053.742""","=""94190.36""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2p.3d""","=""3D*""","=""3""",,"=""""","=""L4743""",
"=""311.0918""","=""0.0010""","=""311.0921""","=""0.0008""","=""5*""","=""""",,"=""62053.742""","=""94189.24""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2p.3d""","=""3D*""","=""2""",,"=""""","=""L4743""",
"=""311.0918""","=""0.0010""","=""311.0921""","=""0.0008""","=""5*""","=""""",,"=""62053.7385""","=""94189.24""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2p.3d""","=""3D*""","=""2""",,"=""""","=""L4743""",
"=""311.0918""","=""0.0010""","=""311.0921""","=""0.0008""","=""5*""","=""""",,"=""62053.742""","=""94189.24""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2p.3d""","=""3D*""","=""2""",,"=""""","=""L4743""",
"=""311.0986""","=""0.0010""","=""311.0990""","=""0.0008""","=""7*""","=""""",,"=""62053.7385""","=""94188.53""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2p.3d""","=""3D*""","=""1""",,"=""""","=""L4743""",
"=""311.0986""","=""0.0010""","=""311.0990""","=""0.0008""","=""7*""","=""""",,"=""62053.742""","=""94188.53""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2p.3d""","=""3D*""","=""1""",,"=""""","=""L4743""",
"=""311.1068""","=""0.0020""","=""311.1068""","=""0.0021""","=""2bl*""","=""""",,"=""[70065.40]""","=""102199.38""","=""1s2.2s.5p""","=""3P*""","=""1""","=""1s2.2p.5p""","=""3P""","=""2""",,"=""""","=""L2771""",
"=""311.1068""","=""0.0020""","=""311.1068""","=""0.0021""","=""2bl*""","=""""",,"=""[70065.40]""","=""102199.38""","=""1s2.2s.5p""","=""3P*""","=""2""","=""1s2.2p.5p""","=""3P""","=""2""",,"=""""","=""L2771""",
"=""311.1235""","=""0.0020""","=""311.1235""","=""0.0021""","=""2bl*""","=""""",,"=""[70065.40]""","=""102197.66""","=""1s2.2s.5p""","=""3P*""","=""1""","=""1s2.2p.5p""","=""3P""","=""1""",,"=""""","=""L2771""",
"=""311.1235""","=""0.0020""","=""311.1235""","=""0.0020""","=""2bl*""","=""""",,"=""[70065.40]""","=""102197.66""","=""1s2.2s.5p""","=""3P*""","=""0""","=""1s2.2p.5p""","=""3P""","=""1""",,"=""""","=""L2771""",
"=""311.1235""","=""0.0020""","=""311.1235""","=""0.0021""","=""2bl*""","=""""",,"=""[70065.40]""","=""102197.66""","=""1s2.2s.5p""","=""3P*""","=""2""","=""1s2.2p.5p""","=""3P""","=""1""",,"=""""","=""L2771""",
"=""311.1420""","=""0.0020""","=""311.1420""","=""0.0020""","=""3*""","=""""",,"=""[70065.40]""","=""102195.75""","=""1s2.2s.5p""","=""3P*""","=""1""","=""1s2.2p.5p""","=""3P""","=""0""",,"=""""","=""L2771""",
"=""311.9850""","=""0.0020""","=""311.9839""","=""0.0019""","=""2*""","=""""",,"=""67941.65""","=""99985.29""","=""1s2.2s.4d""","=""3D""","=""2""","=""1s2.2p.4d""","=""3D*""","=""3""",,"=""""","=""L2771""",
"=""311.9850""","=""0.0020""","=""311.9842""","=""0.0019""","=""2*""","=""""",,"=""67941.68""","=""99985.29""","=""1s2.2s.4d""","=""3D""","=""3""","=""1s2.2p.4d""","=""3D*""","=""3""",,"=""""","=""L2771""",
"=""311.9968""","=""0.0020""","=""311.9966""","=""0.0019""","=""2bl*""","=""""",,"=""67941.63""","=""99983.97""","=""1s2.2s.4d""","=""3D""","=""1""","=""1s2.2p.4d""","=""3D*""","=""2""",,"=""""","=""L2771""",
"=""311.9968""","=""0.0020""","=""311.9968""","=""0.0019""","=""2bl*""","=""""",,"=""67941.65""","=""99983.97""","=""1s2.2s.4d""","=""3D""","=""2""","=""1s2.2p.4d""","=""3D*""","=""2""",,"=""""","=""L2771""",
"=""311.9968""","=""0.0020""","=""311.9971""","=""0.0019""","=""2bl*""","=""""",,"=""67941.68""","=""99983.97""","=""1s2.2s.4d""","=""3D""","=""3""","=""1s2.2p.4d""","=""3D*""","=""2""",,"=""""","=""L2771""",
"=""312.0020""","=""0.0020""","=""312.0028""","=""0.0019""","=""3*""","=""""",,"=""67941.63""","=""99983.33""","=""1s2.2s.4d""","=""3D""","=""1""","=""1s2.2p.4d""","=""3D*""","=""1""",,"=""""","=""L2771""",
"=""312.0020""","=""0.0020""","=""312.0030""","=""0.0019""","=""3*""","=""""",,"=""67941.65""","=""99983.33""","=""1s2.2s.4d""","=""3D""","=""2""","=""1s2.2p.4d""","=""3D*""","=""1""",,"=""""","=""L2771""",
"=""312.4993""","=""0.0020""","=""312.4993""","=""0.0029""","=""3bl*""","=""""",,"=""68241.044""","=""100231.84?""","=""1s2.2s.4f""","=""3F*""","=""3""","=""1s2.2p.4f""","=""3F""","=""4""",,"=""""","=""L2771""",
"=""312.4993""","=""0.0020""","=""312.4993""","=""0.0029""","=""3bl*""","=""""",,"=""68241.04""","=""100231.84?""","=""1s2.2s.4f""","=""3F*""","=""4""","=""1s2.2p.4f""","=""3F""","=""4""",,"=""""","=""L2771""",
"=""312.5119""","=""0.0020""","=""312.5119""","=""0.0022""","=""3bl*""","=""""",,"=""68241.044""","=""100230.55?""","=""1s2.2s.4f""","=""3F*""","=""3""","=""1s2.2p.4f""","=""3F""","=""3""",,"=""""","=""L2771""",
"=""312.5119""","=""0.0020""","=""312.5119""","=""0.0022""","=""3bl*""","=""""",,"=""68241.041""","=""100230.55?""","=""1s2.2s.4f""","=""3F*""","=""2""","=""1s2.2p.4f""","=""3F""","=""3""",,"=""""","=""L2771""",
"=""312.5119""","=""0.0020""","=""312.512""","=""0.003""","=""3bl*""","=""""",,"=""68241.04""","=""100230.55?""","=""1s2.2s.4f""","=""3F*""","=""4""","=""1s2.2p.4f""","=""3F""","=""3""",,"=""""","=""L2771""",
"=""313.4763""","=""0.0020""","=""313.4764""","=""0.0020""","=""5bl""","=""""",,"=""70750.02""","=""102641.11?""","=""1s2.2s.5f""","=""1F*""","=""3""","=""1s2.2p.5f""","=""1F""","=""3""",,"=""""","=""L2771""",
"=""313.606""","=""0.003""","=""313.606""","=""0.003""","=""3""","=""""",,"=""42565.4502""","=""74443.4""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.12d""","=""1D""","=""2""",,"=""""","=""L3514""",
"=""313.8685""","=""0.0020""","=""313.8686""","=""0.0020""","=""7""","=""""",,"=""68241.30""","=""100092.54?""","=""1s2.2s.4f""","=""1F*""","=""3""","=""1s2.2p.4f""","=""1F""","=""3""",,"=""""","=""L2771""",
"=""314.5425""","=""0.0020""","=""314.5425""","=""0.0020""","=""5""","=""""",,"=""71746.17""","=""103529.17""","=""1s2.2s.6p""","=""1P*""","=""1""","=""1s2.2p.6p""","=""1P""","=""1""",,"=""""","=""L2771""",
"=""315.008""","=""0.003""","=""315.008""","=""0.003""","=""4""","=""""",,"=""42565.4502""","=""74301.5""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.11d""","=""1D""","=""2""",,"=""""","=""L3514""",
"=""316.0768""","=""0.0020""","=""316.0767""","=""0.0020""","=""9""","=""""",,"=""70120.59""","=""101749.32""","=""1s2.2s.5p""","=""1P*""","=""1""","=""1s2.2p.5p""","=""1P""","=""1""",,"=""""","=""L2771""",
"=""316.384""","=""0.003""","=""316.384""","=""0.003""","=""1""","=""""",,"=""42565.4502""","=""74163.5""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.11s""","=""1S""","=""0""",,"=""""","=""L3514""",
"=""316.8602""","=""0.0020""","=""316.8602""","=""0.0020""","=""6""","=""""",,"=""42565.4502""","=""74115.98""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.10d""","=""1D""","=""2""",,"=""""","=""L2771""",
"=""318.734""","=""0.003""","=""318.734""","=""0.003""","=""3""","=""""",,"=""42565.4502""","=""73930.5""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.10s""","=""1S""","=""0""",,"=""""","=""L3514""",
"=""319.3830""","=""0.0020""","=""319.3812""","=""0.0009""","=""8""","=""5.08e-02""",B,"=""42565.4502""","=""73866.95""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.9d""","=""1D""","=""2""",,"=""u28""","=""L2771""",
"=""320.8600""","=""0.0010""","=""320.8597""","=""0.0008""","=""11""","=""""",,"=""67034.80""","=""98192.07""","=""1s2.2s.4p""","=""1P*""","=""1""","=""1s2.2p.4p""","=""1P""","=""1""",,"=""""","=""L2031""",
"=""322.039""","=""0.003""","=""322.039""","=""0.003""","=""4""","=""1.14e-02""",B,"=""42565.4502""","=""73608.6""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.9s""","=""1S""","=""0""",,"=""u28""","=""L3514""",
"=""322.9620""","=""0.0010""","=""322.9619""","=""0.0009""","=""9""","=""7.16e-02""",B,"=""42565.4502""","=""73519.92""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.8d""","=""1D""","=""2""",,"=""u28""","=""L4743""",
"=""326.9038""","=""0.0020""","=""326.9038""","=""0.0020""","=""6""","=""1.52e-02""",B,"=""42565.4502""","=""73146.67""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.8s""","=""1S""","=""0""",,"=""u28""","=""L2771""",
"=""328.2905""","=""0.0010""","=""328.2900""","=""0.0006""","=""10""","=""1.06e-01""",B,"=""42565.4502""","=""73017.55""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.7d""","=""1D""","=""2""",,"=""u28""","=""L4743""",
"=""332.1011""","=""0.0010""","=""332.1013""","=""0.0007""","=""35""","=""1.70e-01""",B,"=""21978.31""","=""52080.943""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.3s""","=""3S""","=""1""",,"=""T7096c74""","=""L4743""",
"=""332.1079""","=""0.0010""","=""332.1081""","=""0.0006""","=""40""","=""5.10e-01""",B,"=""21978.925""","=""52080.943""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.3s""","=""3S""","=""1""",,"=""T7096c74""","=""L4743""",
"=""332.1340""","=""0.0010""","=""332.1338""","=""0.0007""","=""45""","=""8.51e-01""",B,"=""21981.26""","=""52080.943""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.3s""","=""3S""","=""1""",,"=""T7096c74""","=""L4743""",
"=""334.5430""","=""0.0020""","=""334.5430""","=""0.0020""","=""8bl""","=""2.10e-02""",B,"=""42565.4502""","=""72448.38""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.7s""","=""1S""","=""0""",,"=""u28""","=""L2771""",
"=""336.7633""","=""0.0010""","=""336.7650""","=""0.0007""","=""11""","=""1.64e-01""",B,"=""42565.4502""","=""72251.22""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.6d""","=""1D""","=""2""",,"=""u28""","=""L4743""",
"=""345.1372""","=""0.0010""","=""345.1372""","=""0.0008""","=""1""","=""""",,"=""64428.4032""","=""93394.09""","=""1s2.2s.3d""","=""1D""","=""2""","=""1s2.2p.3d""","=""1D*""","=""2""",,"=""""","=""L4743""",
"=""345.5183""","=""0.0010""","=""345.5182""","=""0.0006""","=""17""","=""""",,"=""60187.4434""","=""89121.19""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2p.3p""","=""1P""","=""1""",,"=""""","=""L4743""",
"=""347.6564""","=""0.0010""","=""347.6564""","=""0.0010""","=""11""","=""3.11e-02""",B,"=""42565.4502""","=""71321.25""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.6s""","=""1S""","=""0""",,"=""u28""","=""L4743""",
"=""351.5539""","=""0.0010""","=""351.5545""","=""0.0004""","=""17""","=""2.74e-01""",B,"=""42565.4502""","=""71002.406""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.5d""","=""1D""","=""2""",,"=""u28""","=""L4743""",
"=""356.1310""","=""0.0020""","=""356.1317""","=""0.0011""","=""5""","=""""",,"=""70120.59""","=""98192.07""","=""1s2.2s.5p""","=""1P*""","=""1""","=""1s2.2p.4p""","=""1P""","=""1""",,"=""""","=""L2771""",
"=""373.6298""","=""0.0010""","=""373.6298""","=""0.0010""","=""13""","=""5.08e-02""",B,"=""42565.4502""","=""69322.30""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.5s""","=""1S""","=""0""",,"=""u28""","=""L4743""",
